Program;Network;Mean_Weekly_Numberof Viewers_inMillions
The Big Bang Theory;CBS;18,634
NFL Sunday Night Football;NBC;18,285
Roseanne;ABC;17,815
This Is Us;NBC;17,438
NCIS;CBS;16,718
Young Sheldon;CBS;16,296
The Good Doctor;ABC;15,610
Bull;CBS;14,374
NFL Thursday Night Football (CBS + NFLN);CBS;14,230
NFL Thursday Night Football (NBC + NFLN);NBC;13,583
NFL Sunday Night Football Pre-Kickoff;NBC;13,291
Blue Bloods;CBS;13,088
NCIS: New Orleans;CBS;12,228
The Voice;NBC;11,850
The OT;FOX;11,677
60 Minutes;CBS;11,562
The Voice (Tue);NBC;11,173
Hawaii Five-0;CBS;11,004
Mom;CBS;10,969
Grey’s Anatomy;ABC;10,829
9-1-1;FOX;10,746
Dancing With The Stars;ABC;10,599
NCIS: LA;CBS;10,384
Chicago PD;NBC;10,323
Survivor;CBS;10,289
Instinct;CBS;10,164
Chicago Med;NBC;10,104
SEAL Team;CBS;9,872
Chicago Fire;NBC;9,678
Criminal Minds;CBS;9,585
Football Night In America 3;NBC;9,577
American Idol (Mon);ABC;9,447
American Idol (Sun);ABC;9,306
Ellen’s Game Of Games;NBC;9,195
S.W.A.T.;CBS;9,133
Will & Grace;NBC;8,855
Madam Secretary;CBS;8,844
MacGyver;CBS;8,595
Law & Order: SVU;NBC;8,575
Wisdom Of The Crowd;CBS;8,508
The Big Bang Theory (Enc);CBS;8,488
The Blacklist;NBC;8,412
Scorpion;CBS;8,376
Life In Pieces;CBS;8,277
Designated Survivor;ABC;7,974
NCIS (Enc);CBS;7,941
The Bachelor;ABC;7,927
Young Sheldon (Enc);CBS;7,202
The Amazing Race;CBS;7,702
The Brave;NBC;7,683
Kevin Can Wait;CBS;7,657
Empire;FOX;7,454
Scandal;ABC;7,406
Station 19;ABC;7,363
The Middle;ABC;7,286
NFL Thursday Night Kickoff 2 (CBS + NFLN);CBS;7,193
Little Big Shots;NBC;7,189
Modern Family;ABC;7,099
The Resident;FOX;7,029
Code Black;CBS;6,933
Man With A Plan;CBS;6,789
Law & Order: True Crime;NBC;6,728
The Orville;FOX;6,552
How To Get Away With Murder;ABC;6,424
60 Minutes Presents;CBS;6,299
The Goldbergs;ABC;6,264
9JKL;CBS;6,253
Ellen’s Game Of Games (Enc);NBC;6,226
Better Late Than Never;NBC;6,201
Me, Myself & I;CBS;6,130
Good Girls;NBC;6,070
The Wall;NBC;6,003
Bull (Enc);CBS;5,945
Superior Donuts;CBS;5,915
The Crossing;ABC;5,888
Hawaii Five-0 (Enc);CBS;5,803
The Good Place;NBC;5,784
